Url,Price,Suburb,size_inch,Date Listed,Last Edited,Brand,Condition,Display Technology,Screen Size,Max. Resolution,COVID-19 Safety,yhat
https://www.gumtree.com.au/s-ad/oakleigh-south/tvs/lg-50-to-86-inches-led-oled-s-tv-s-available-warranty-limited-stock/1256132836,299.0,Oakleigh South,86.0,2020-09-04,2020-09-04,LG,New,LED,Other,2160p (4K),,1522.83680665596
https://www.gumtree.com.au/s-ad/maroubra/tvs/samsung-65-tv-ua65ru7100/1255514706,1000.0,Maroubra,65.0,2020-09-04,2020-09-04,Samsung,Used,,Other,2160p (4K),,1153.0535326216561
https://www.gumtree.com.au/s-ad/south-yarra/tvs/for-sale-samsung-26-inch-lcd-tv/1256132629,100.0,South Yarra,26.0,2020-09-04,2020-09-04,Samsung,Used,,20-29 in,,,115.22591682920506
https://www.gumtree.com.au/s-ad/newtown/tvs/platinum-60cm-23-5-hd-led-lcd-tv/1256132366,60.0,Newtown,23.0,2020-09-04,2020-09-04,Other,Used,LED,20-29 in,1080p,,-32.471750863600306
https://www.gumtree.com.au/s-ad/claremont/tvs/sony-bravia-tv-flat-screen/1256132289,70.0,Claremont,,2020-09-04,2020-09-04,Sony,Used,,,,,257.25165080587584
https://www.gumtree.com.au/s-ad/mentone/tvs/brand-new-samsung-4k-ultra-hd-led-smart-tv-43-55-65-price-from/1256132196,865.0,Mentone,43.0,2020-09-04,2020-09-04,,New,,,,,535.618028767655
https://www.gumtree.com.au/s-ad/kirribilli/tvs/gva-39-5cms-tv-and-sony-dvd-blu-ray-player/1256132184,45.0,Kirribilli,15.0,2020-09-04,2020-09-04,,Used,,,,Contactless trade,158.86658307771083
https://www.gumtree.com.au/s-ad/enmore/tvs/tcl-smart-tv/1256132106,,Enmore,,2020-09-04,2020-09-04,TCL,Used,,,,Contactless trade,37.991265544312995
https://www.gumtree.com.au/s-ad/adelaide-cbd/tvs/32-inch-sony-bravia/1256131864,,Adelaide CBD,32.0,2020-09-04,2020-09-04,Sony,Used,LED,30-39 in,1080p,Contactless trade,230.90496963638003
https://www.gumtree.com.au/s-ad/salisbury-heights/tvs/24-inch-tv-with-built-in-dvd-and-usb-port/1256131523,80.0,Salisbury Heights,24.0,2020-09-04,2020-09-04,,Used,,,,,203.2144490780476
https://www.gumtree.com.au/s-ad/spearwood/tvs/panasonic-58-plasma-tv/1256131139,200.0,Spearwood,58.0,2020-09-04,2020-09-04,Panasonic,Used,Plasma,50-60 in,,,212.51068633420937
https://www.gumtree.com.au/s-ad/evanston-gardens/tvs/32-hd-lcd-tv/1256131071,40.0,Evanston Gardens,32.0,2020-09-04,2020-09-04,Other,Used,LCD,30-39 in,Other,,-143.62871382891507
