Url,Price,Suburb,Date Listed,Last Edited,Brand,Condition,Display Technology,Screen Size,size_inch,Max. Resolution,COVID-19 Safety
https://www.gumtree.com.au/s-ad/newport/tvs/tv-sony-kd65x9000c-led-smart-tv/1263005463,800.0,Newport,2020-12-06,2020-12-06,Sony,Used,LED,Other,,,
https://www.gumtree.com.au/s-ad/helensvale/tvs/3y-warranty-hisense-tv-65-uhd-hdr/1262086395,1100.0,Helensvale,23/11/2020,29/11/2020,Hisense,Used,LED LCD,Other,65.0,2160p (4K),
https://www.gumtree.com.au/s-ad/sydney-city/tvs/ps5-xbox-ready-tv-8k-85inch-sony-kd85z8h/1261886727,16000.0,Sydney City,21/11/2020,22/11/2020,Sony,New,Other,Other,85.0,4320p (8K),Contactless trade
https://www.gumtree.com.au/s-ad/cranbourne/tvs/digital-tv-antenna-data-wall-mount-bracket-foxtel-dish-install/1259317641,190.0,Cranbourne,18/10/2020,25/11/2020,,New,,,,,
https://www.gumtree.com.au/s-ad/sydney-region/tvs/4k-uhd-tv-65-inch-tek-hdr-curved-smart-tv/1227061324,1250.0,Sydney Region,03/11/2019,14/11/2020,,New,LED,Other,65.0,2160p (4K),Contactless trade
https://www.gumtree.com.au/s-ad/clyde/tvs/digital-tv-antenna-data-wall-mount-bracket-foxtel-dish-install/1259317424,190.0,Clyde,18/10/2020,25/11/2020,,New,,,,,
https://www.gumtree.com.au/s-ad/guanaba/tvs/grundig-massive-crtv/1263057205,100.0,Guanaba,2020-12-06,2020-12-06,,Used,,,,,
https://www.gumtree.com.au/s-ad/lynbrook/tvs/digital-tv-antenna-data-wall-mount-bracket-foxtel-dish-install/1263057195,190.0,Lynbrook,2020-12-06,2020-12-06,,New,,,,,
https://www.gumtree.com.au/s-ad/blacktown/tvs/free-tv-broken-/1263057179,,Blacktown,2020-12-06,2020-12-06,,Used,,,,,Contactless trade
https://www.gumtree.com.au/s-ad/north-curl-curl/tvs/free-sony-lcd-digital-tv-works-well-/1263057062,,North Curl Curl,2020-12-06,2020-12-06,,Used,,,,,
